customer_id,review_text,processed_text,customer_rating,sentiment_label,vader_pred,vader_score,bert_pred_full,bert_confidence_full,sentiment_score
37,"amazing experience, highly recommend!",amazing experience highly recommend,5,positive,positive,0.7836,positive,0.9405997395515442,1
38,customer service was unhelpful.,customer service unhelpful,2,negative,neutral,0.0,negative,0.44395899772644043,-1
39,not worth the price.,not worth price,2,negative,negative,-0.1695,negative,0.4591589570045471,-1
40,product stopped working after few days.,product stopped working day,2,negative,negative,-0.2263,negative,0.6589389443397522,-1
41,not worth the price.,not worth price,2,negative,negative,-0.1695,negative,0.4591589570045471,-1
42,"amazing experience, highly recommend!",amazing experience highly recommend,4,positive,positive,0.7836,positive,0.9405997395515442,1
43,works fine but could be better.,work fine could better,3,neutral,positive,0.6428,neutral,0.5999695062637329,0
44,fast delivery and great packaging.,fast delivery great packaging,4,positive,positive,0.6249,positive,0.7150805592536926,1
45,not worth the price.,not worth price,1,negative,negative,-0.1695,negative,0.4591589570045471,-1
46,excellent product! exceeded expectations.,excellent product exceeded expectation,4,positive,positive,0.6114,positive,0.9307136535644531,1
47,excellent product! exceeded expectations.,excellent product exceeded expectation,5,positive,positive,0.6114,positive,0.9307136535644531,1
48,"amazing experience, highly recommend!",amazing experience highly recommend,5,positive,positive,0.7836,positive,0.9405997395515442,1
49,average experience overall.,average experience overall,3,neutral,neutral,0.0,neutral,0.7137743234634399,0
50,fast delivery and great packaging.,fast delivery great packaging,4,positive,positive,0.6249,positive,0.7150805592536926,1
51,"amazing experience, highly recommend!",amazing experience highly recommend,4,positive,positive,0.7836,positive,0.9405997395515442,1
52,product stopped working after few days.,product stopped working day,2,negative,negative,-0.2263,negative,0.6589389443397522,-1
53,late delivery and poor packaging.,late delivery poor packaging,2,negative,negative,-0.4767,negative,0.5518423318862915,-1
54,fast delivery and great packaging.,fast delivery great packaging,5,positive,positive,0.6249,positive,0.7150805592536926,1
55,excellent product! exceeded expectations.,excellent product exceeded expectation,5,positive,positive,0.6114,positive,0.9307136535644531,1
56,"amazing experience, highly recommend!",amazing experience highly recommend,5,positive,positive,0.7836,positive,0.9405997395515442,1
57,very satisfied with the quality.,very satisfied quality,5,positive,positive,0.4754,positive,0.6406426429748535,1
58,"product is okay, nothing special.",product okay nothing special,3,neutral,negative,-0.092,neutral,0.8160766959190369,0
59,product stopped working after few days.,product stopped working day,2,negative,negative,-0.2263,negative,0.6589389443397522,-1
60,excellent product! exceeded expectations.,excellent product exceeded expectation,5,positive,positive,0.6114,positive,0.9307136535644531,1
61,"product is okay, nothing special.",product okay nothing special,3,neutral,negative,-0.092,neutral,0.8160766959190369,0
62,"amazing experience, highly recommend!",amazing experience highly recommend,5,positive,positive,0.7836,positive,0.9405997395515442,1
63,great value for money.,great value money,4,positive,positive,0.7579,positive,0.7198184728622437,1
64,fast delivery and great packaging.,fast delivery great packaging,4,positive,positive,0.6249,positive,0.7150805592536926,1
65,excellent product! exceeded expectations.,excellent product exceeded expectation,4,positive,positive,0.6114,positive,0.9307136535644531,1
66,fast delivery and great packaging.,fast delivery great packaging,5,positive,positive,0.6249,positive,0.7150805592536926,1
67,customer service was unhelpful.,customer service unhelpful,1,negative,neutral,0.0,negative,0.44395899772644043,-1
68,product stopped working after few days.,product stopped working day,1,negative,negative,-0.2263,negative,0.6589389443397522,-1
69,late delivery and poor packaging.,late delivery poor packaging,2,negative,negative,-0.4767,negative,0.5518423318862915,-1
70,not worth the price.,not worth price,2,negative,negative,-0.1695,negative,0.4591589570045471,-1
71,works fine but could be better.,work fine could better,3,neutral,positive,0.6428,neutral,0.5999695062637329,0
72,late delivery and poor packaging.,late delivery poor packaging,1,negative,negative,-0.4767,negative,0.5518423318862915,-1
73,works fine but could be better.,work fine could better,3,neutral,positive,0.6428,neutral,0.5999695062637329,0
74,not worth the price.,not worth price,1,negative,negative,-0.1695,negative,0.4591589570045471,-1
75,great value for money.,great value money,4,positive,positive,0.7579,positive,0.7198184728622437,1
76,"amazing experience, highly recommend!",amazing experience highly recommend,4,positive,positive,0.7836,positive,0.9405997395515442,1
77,very satisfied with the quality.,very satisfied quality,5,positive,positive,0.4754,positive,0.6406426429748535,1
78,customer service was unhelpful.,customer service unhelpful,2,negative,neutral,0.0,negative,0.44395899772644043,-1
79,very disappointed with the quality.,very disappointed quality,1,negative,negative,-0.5256,negative,0.47428229451179504,-1
80,very disappointed with the quality.,very disappointed quality,2,negative,negative,-0.5256,negative,0.47428229451179504,-1
81,very satisfied with the quality.,very satisfied quality,4,positive,positive,0.4754,positive,0.6406426429748535,1
82,"delivery was fine, product is decent.",delivery fine product decent,3,neutral,positive,0.2023,positive,0.48837316036224365,1
83,customer service was unhelpful.,customer service unhelpful,2,negative,neutral,0.0,negative,0.44395899772644043,-1
84,very disappointed with the quality.,very disappointed quality,1,negative,negative,-0.5256,negative,0.47428229451179504,-1
85,late delivery and poor packaging.,late delivery poor packaging,1,negative,negative,-0.4767,negative,0.5518423318862915,-1
86,very satisfied with the quality.,very satisfied quality,5,positive,positive,0.4754,positive,0.6406426429748535,1
87,very satisfied with the quality.,very satisfied quality,5,positive,positive,0.4754,positive,0.6406426429748535,1
88,great value for money.,great value money,5,positive,positive,0.7579,positive,0.7198184728622437,1
89,average experience overall.,average experience overall,3,neutral,neutral,0.0,neutral,0.7137743234634399,0
90,not worth the price.,not worth price,1,negative,negative,-0.1695,negative,0.4591589570045471,-1
91,"amazing experience, highly recommend!",amazing experience highly recommend,4,positive,positive,0.7836,positive,0.9405997395515442,1
92,average experience overall.,average experience overall,3,neutral,neutral,0.0,neutral,0.7137743234634399,0
93,excellent product! exceeded expectations.,excellent product exceeded expectation,4,positive,positive,0.6114,positive,0.9307136535644531,1
94,"delivery was fine, product is decent.",delivery fine product decent,3,neutral,positive,0.2023,positive,0.48837316036224365,1
95,customer service was unhelpful.,customer service unhelpful,2,negative,neutral,0.0,negative,0.44395899772644043,-1
96,fast delivery and great packaging.,fast delivery great packaging,4,positive,positive,0.6249,positive,0.7150805592536926,1
97,fast delivery and great packaging.,fast delivery great packaging,5,positive,positive,0.6249,positive,0.7150805592536926,1
98,very disappointed with the quality.,very disappointed quality,2,negative,negative,-0.5256,negative,0.47428229451179504,-1
99,product stopped working after few days.,product stopped working day,2,negative,negative,-0.2263,negative,0.6589389443397522,-1
100,product stopped working after few days.,product stopped working day,1,negative,negative,-0.2263,negative,0.6589389443397522,-1
101,"amazing experience, highly recommend!",amazing experience highly recommend,4,positive,positive,0.7836,positive,0.9405997395515442,1
102,customer service was unhelpful.,customer service unhelpful,1,negative,neutral,0.0,negative,0.44395899772644043,-1
103,fast delivery and great packaging.,fast delivery great packaging,4,positive,positive,0.6249,positive,0.7150805592536926,1
104,very satisfied with the quality.,very satisfied quality,4,positive,positive,0.4754,positive,0.6406426429748535,1
105,product stopped working after few days.,product stopped working day,2,negative,negative,-0.2263,negative,0.6589389443397522,-1
106,works fine but could be better.,work fine could better,3,neutral,positive,0.6428,neutral,0.5999695062637329,0
107,late delivery and poor packaging.,late delivery poor packaging,2,negative,negative,-0.4767,negative,0.5518423318862915,-1
108,excellent product! exceeded expectations.,excellent product exceeded expectation,4,positive,positive,0.6114,positive,0.9307136535644531,1
109,late delivery and poor packaging.,late delivery poor packaging,1,negative,negative,-0.4767,negative,0.5518423318862915,-1
110,"product is okay, nothing special.",product okay nothing special,3,neutral,negative,-0.092,neutral,0.8160766959190369,0
111,"product is okay, nothing special.",product okay nothing special,3,neutral,negative,-0.092,neutral,0.8160766959190369,0
112,"amazing experience, highly recommend!",amazing experience highly recommend,4,positive,positive,0.7836,positive,0.9405997395515442,1
113,"amazing experience, highly recommend!",amazing experience highly recommend,5,positive,positive,0.7836,positive,0.9405997395515442,1
114,very satisfied with the quality.,very satisfied quality,4,positive,positive,0.4754,positive,0.6406426429748535,1
115,late delivery and poor packaging.,late delivery poor packaging,2,negative,negative,-0.4767,negative,0.5518423318862915,-1
116,not worth the price.,not worth price,2,negative,negative,-0.1695,negative,0.4591589570045471,-1
117,"product is okay, nothing special.",product okay nothing special,3,neutral,negative,-0.092,neutral,0.8160766959190369,0
118,great value for money.,great value money,4,positive,positive,0.7579,positive,0.7198184728622437,1
119,product stopped working after few days.,product stopped working day,2,negative,negative,-0.2263,negative,0.6589389443397522,-1
120,late delivery and poor packaging.,late delivery poor packaging,2,negative,negative,-0.4767,negative,0.5518423318862915,-1
121,fast delivery and great packaging.,fast delivery great packaging,4,positive,positive,0.6249,positive,0.7150805592536926,1
122,not worth the price.,not worth price,1,negative,negative,-0.1695,negative,0.4591589570045471,-1
123,great value for money.,great value money,5,positive,positive,0.7579,positive,0.7198184728622437,1
124,very satisfied with the quality.,very satisfied quality,5,positive,positive,0.4754,positive,0.6406426429748535,1
125,very disappointed with the quality.,very disappointed quality,1,negative,negative,-0.5256,negative,0.47428229451179504,-1
126,fast delivery and great packaging.,fast delivery great packaging,4,positive,positive,0.6249,positive,0.7150805592536926,1
127,neutral about the quality.,neutral quality,3,neutral,neutral,0.0,neutral,0.40819641947746277,0
128,very satisfied with the quality.,very satisfied quality,4,positive,positive,0.4754,positive,0.6406426429748535,1
129,great value for money.,great value money,4,positive,positive,0.7579,positive,0.7198184728622437,1
130,very disappointed with the quality.,very disappointed quality,2,negative,negative,-0.5256,negative,0.47428229451179504,-1
131,very satisfied with the quality.,very satisfied quality,5,positive,positive,0.4754,positive,0.6406426429748535,1
132,excellent product! exceeded expectations.,excellent product exceeded expectation,4,positive,positive,0.6114,positive,0.9307136535644531,1
133,fast delivery and great packaging.,fast delivery great packaging,4,positive,positive,0.6249,positive,0.7150805592536926,1
134,customer service was unhelpful.,customer service unhelpful,2,negative,neutral,0.0,negative,0.44395899772644043,-1
135,product stopped working after few days.,product stopped working day,2,negative,negative,-0.2263,negative,0.6589389443397522,-1
136,product stopped working after few days.,product stopped working day,2,negative,negative,-0.2263,negative,0.6589389443397522,-1
137,late delivery and poor packaging.,late delivery poor packaging,2,negative,negative,-0.4767,negative,0.5518423318862915,-1
138,very disappointed with the quality.,very disappointed quality,2,negative,negative,-0.5256,negative,0.47428229451179504,-1
139,great value for money.,great value money,4,positive,positive,0.7579,positive,0.7198184728622437,1
140,great value for money.,great value money,4,positive,positive,0.7579,positive,0.7198184728622437,1
141,customer service was unhelpful.,customer service unhelpful,2,negative,neutral,0.0,negative,0.44395899772644043,-1
142,product stopped working after few days.,product stopped working day,2,negative,negative,-0.2263,negative,0.6589389443397522,-1
143,"amazing experience, highly recommend!",amazing experience highly recommend,4,positive,positive,0.7836,positive,0.9405997395515442,1
144,late delivery and poor packaging.,late delivery poor packaging,1,negative,negative,-0.4767,negative,0.5518423318862915,-1
145,"product is okay, nothing special.",product okay nothing special,3,neutral,negative,-0.092,neutral,0.8160766959190369,0
146,late delivery and poor packaging.,late delivery poor packaging,2,negative,negative,-0.4767,negative,0.5518423318862915,-1
147,"delivery was fine, product is decent.",delivery fine product decent,3,neutral,positive,0.2023,positive,0.48837316036224365,1
148,neutral about the quality.,neutral quality,3,neutral,neutral,0.0,neutral,0.40819641947746277,0
149,very disappointed with the quality.,very disappointed quality,1,negative,negative,-0.5256,negative,0.47428229451179504,-1
150,late delivery and poor packaging.,late delivery poor packaging,2,negative,negative,-0.4767,negative,0.5518423318862915,-1
151,neutral about the quality.,neutral quality,3,neutral,neutral,0.0,neutral,0.40819641947746277,0
152,great value for money.,great value money,4,positive,positive,0.7579,positive,0.7198184728622437,1
153,fast delivery and great packaging.,fast delivery great packaging,5,positive,positive,0.6249,positive,0.7150805592536926,1
154,customer service was unhelpful.,customer service unhelpful,1,negative,neutral,0.0,negative,0.44395899772644043,-1
155,"amazing experience, highly recommend!",amazing experience highly recommend,4,positive,positive,0.7836,positive,0.9405997395515442,1
156,"amazing experience, highly recommend!",amazing experience highly recommend,4,positive,positive,0.7836,positive,0.9405997395515442,1
157,product stopped working after few days.,product stopped working day,1,negative,negative,-0.2263,negative,0.6589389443397522,-1
158,very disappointed with the quality.,very disappointed quality,2,negative,negative,-0.5256,negative,0.47428229451179504,-1
159,product stopped working after few days.,product stopped working day,1,negative,negative,-0.2263,negative,0.6589389443397522,-1
160,late delivery and poor packaging.,late delivery poor packaging,1,negative,negative,-0.4767,negative,0.5518423318862915,-1
161,not worth the price.,not worth price,2,negative,negative,-0.1695,negative,0.4591589570045471,-1
162,customer service was unhelpful.,customer service unhelpful,2,negative,neutral,0.0,negative,0.44395899772644043,-1
163,great value for money.,great value money,4,positive,positive,0.7579,positive,0.7198184728622437,1
164,product stopped working after few days.,product stopped working day,1,negative,negative,-0.2263,negative,0.6589389443397522,-1
165,very disappointed with the quality.,very disappointed quality,1,negative,negative,-0.5256,negative,0.47428229451179504,-1
166,fast delivery and great packaging.,fast delivery great packaging,5,positive,positive,0.6249,positive,0.7150805592536926,1
167,"delivery was fine, product is decent.",delivery fine product decent,3,neutral,positive,0.2023,positive,0.48837316036224365,1
168,very disappointed with the quality.,very disappointed quality,2,negative,negative,-0.5256,negative,0.47428229451179504,-1
169,"amazing experience, highly recommend!",amazing experience highly recommend,5,positive,positive,0.7836,positive,0.9405997395515442,1
170,fast delivery and great packaging.,fast delivery great packaging,5,positive,positive,0.6249,positive,0.7150805592536926,1
171,customer service was unhelpful.,customer service unhelpful,1,negative,neutral,0.0,negative,0.44395899772644043,-1
172,very disappointed with the quality.,very disappointed quality,2,negative,negative,-0.5256,negative,0.47428229451179504,-1
173,"product is okay, nothing special.",product okay nothing special,3,neutral,negative,-0.092,neutral,0.8160766959190369,0
174,customer service was unhelpful.,customer service unhelpful,1,negative,neutral,0.0,negative,0.44395899772644043,-1
175,fast delivery and great packaging.,fast delivery great packaging,4,positive,positive,0.6249,positive,0.7150805592536926,1
176,late delivery and poor packaging.,late delivery poor packaging,1,negative,negative,-0.4767,negative,0.5518423318862915,-1
177,"amazing experience, highly recommend!",amazing experience highly recommend,5,positive,positive,0.7836,positive,0.9405997395515442,1
178,not worth the price.,not worth price,2,negative,negative,-0.1695,negative,0.4591589570045471,-1
179,neutral about the quality.,neutral quality,3,neutral,neutral,0.0,neutral,0.40819641947746277,0
180,very satisfied with the quality.,very satisfied quality,5,positive,positive,0.4754,positive,0.6406426429748535,1
181,neutral about the quality.,neutral quality,3,neutral,neutral,0.0,neutral,0.40819641947746277,0
182,"delivery was fine, product is decent.",delivery fine product decent,3,neutral,positive,0.2023,positive,0.48837316036224365,1
183,great value for money.,great value money,5,positive,positive,0.7579,positive,0.7198184728622437,1
184,"amazing experience, highly recommend!",amazing experience highly recommend,4,positive,positive,0.7836,positive,0.9405997395515442,1
185,neutral about the quality.,neutral quality,3,neutral,neutral,0.0,neutral,0.40819641947746277,0
186,"product is okay, nothing special.",product okay nothing special,3,neutral,negative,-0.092,neutral,0.8160766959190369,0
187,"amazing experience, highly recommend!",amazing experience highly recommend,4,positive,positive,0.7836,positive,0.9405997395515442,1
188,customer service was unhelpful.,customer service unhelpful,2,negative,neutral,0.0,negative,0.44395899772644043,-1
189,very disappointed with the quality.,very disappointed quality,1,negative,negative,-0.5256,negative,0.47428229451179504,-1
190,excellent product! exceeded expectations.,excellent product exceeded expectation,4,positive,positive,0.6114,positive,0.9307136535644531,1
191,"amazing experience, highly recommend!",amazing experience highly recommend,4,positive,positive,0.7836,positive,0.9405997395515442,1
192,average experience overall.,average experience overall,3,neutral,neutral,0.0,neutral,0.7137743234634399,0
193,not worth the price.,not worth price,2,negative,negative,-0.1695,negative,0.4591589570045471,-1
194,customer service was unhelpful.,customer service unhelpful,1,negative,neutral,0.0,negative,0.44395899772644043,-1
195,customer service was unhelpful.,customer service unhelpful,1,negative,neutral,0.0,negative,0.44395899772644043,-1
196,"product is okay, nothing special.",product okay nothing special,3,neutral,negative,-0.092,neutral,0.8160766959190369,0
197,very disappointed with the quality.,very disappointed quality,1,negative,negative,-0.5256,negative,0.47428229451179504,-1
198,very satisfied with the quality.,very satisfied quality,4,positive,positive,0.4754,positive,0.6406426429748535,1
199,product stopped working after few days.,product stopped working day,1,negative,negative,-0.2263,negative,0.6589389443397522,-1
200,product stopped working after few days.,product stopped working day,2,negative,negative,-0.2263,negative,0.6589389443397522,-1
201,"amazing experience, highly recommend!",amazing experience highly recommend,5,positive,positive,0.7836,positive,0.9405997395515442,1
202,not worth the price.,not worth price,2,negative,negative,-0.1695,negative,0.4591589570045471,-1
203,average experience overall.,average experience overall,3,neutral,neutral,0.0,neutral,0.7137743234634399,0
204,excellent product! exceeded expectations.,excellent product exceeded expectation,4,positive,positive,0.6114,positive,0.9307136535644531,1
205,late delivery and poor packaging.,late delivery poor packaging,1,negative,negative,-0.4767,negative,0.5518423318862915,-1
206,customer service was unhelpful.,customer service unhelpful,2,negative,neutral,0.0,negative,0.44395899772644043,-1
207,average experience overall.,average experience overall,3,neutral,neutral,0.0,neutral,0.7137743234634399,0
208,product stopped working after few days.,product stopped working day,2,negative,negative,-0.2263,negative,0.6589389443397522,-1
209,excellent product! exceeded expectations.,excellent product exceeded expectation,5,positive,positive,0.6114,positive,0.9307136535644531,1
210,"amazing experience, highly recommend!",amazing experience highly recommend,4,positive,positive,0.7836,positive,0.9405997395515442,1
211,customer service was unhelpful.,customer service unhelpful,1,negative,neutral,0.0,negative,0.44395899772644043,-1
212,excellent product! exceeded expectations.,excellent product exceeded expectation,5,positive,positive,0.6114,positive,0.9307136535644531,1
213,not worth the price.,not worth price,2,negative,negative,-0.1695,negative,0.4591589570045471,-1
214,very disappointed with the quality.,very disappointed quality,1,negative,negative,-0.5256,negative,0.47428229451179504,-1
215,"amazing experience, highly recommend!",amazing experience highly recommend,4,positive,positive,0.7836,positive,0.9405997395515442,1
216,not worth the price.,not worth price,2,negative,negative,-0.1695,negative,0.4591589570045471,-1
217,very disappointed with the quality.,very disappointed quality,1,negative,negative,-0.5256,negative,0.47428229451179504,-1
218,not worth the price.,not worth price,1,negative,negative,-0.1695,negative,0.4591589570045471,-1
219,fast delivery and great packaging.,fast delivery great packaging,4,positive,positive,0.6249,positive,0.7150805592536926,1
220,"product is okay, nothing special.",product okay nothing special,3,neutral,negative,-0.092,neutral,0.8160766959190369,0
221,"delivery was fine, product is decent.",delivery fine product decent,3,neutral,positive,0.2023,positive,0.48837316036224365,1
222,not worth the price.,not worth price,2,negative,negative,-0.1695,negative,0.4591589570045471,-1
223,late delivery and poor packaging.,late delivery poor packaging,2,negative,negative,-0.4767,negative,0.5518423318862915,-1
224,"amazing experience, highly recommend!",amazing experience highly recommend,5,positive,positive,0.7836,positive,0.9405997395515442,1
225,neutral about the quality.,neutral quality,3,neutral,neutral,0.0,neutral,0.40819641947746277,0
226,excellent product! exceeded expectations.,excellent product exceeded expectation,5,positive,positive,0.6114,positive,0.9307136535644531,1
227,"delivery was fine, product is decent.",delivery fine product decent,3,neutral,positive,0.2023,positive,0.48837316036224365,1
228,late delivery and poor packaging.,late delivery poor packaging,1,negative,negative,-0.4767,negative,0.5518423318862915,-1
229,"product is okay, nothing special.",product okay nothing special,3,neutral,negative,-0.092,neutral,0.8160766959190369,0
230,great value for money.,great value money,5,positive,positive,0.7579,positive,0.7198184728622437,1
231,very disappointed with the quality.,very disappointed quality,1,negative,negative,-0.5256,negative,0.47428229451179504,-1
232,late delivery and poor packaging.,late delivery poor packaging,2,negative,negative,-0.4767,negative,0.5518423318862915,-1
233,"delivery was fine, product is decent.",delivery fine product decent,3,neutral,positive,0.2023,positive,0.48837316036224365,1
234,late delivery and poor packaging.,late delivery poor packaging,2,negative,negative,-0.4767,negative,0.5518423318862915,-1
235,"amazing experience, highly recommend!",amazing experience highly recommend,4,positive,positive,0.7836,positive,0.9405997395515442,1
236,great value for money.,great value money,5,positive,positive,0.7579,positive,0.7198184728622437,1
237,excellent product! exceeded expectations.,excellent product exceeded expectation,4,positive,positive,0.6114,positive,0.9307136535644531,1
238,late delivery and poor packaging.,late delivery poor packaging,2,negative,negative,-0.4767,negative,0.5518423318862915,-1
239,excellent product! exceeded expectations.,excellent product exceeded expectation,5,positive,positive,0.6114,positive,0.9307136535644531,1
240,not worth the price.,not worth price,1,negative,negative,-0.1695,negative,0.4591589570045471,-1
241,very satisfied with the quality.,very satisfied quality,4,positive,positive,0.4754,positive,0.6406426429748535,1
242,product stopped working after few days.,product stopped working day,1,negative,negative,-0.2263,negative,0.6589389443397522,-1
243,customer service was unhelpful.,customer service unhelpful,1,negative,neutral,0.0,negative,0.44395899772644043,-1
244,product stopped working after few days.,product stopped working day,2,negative,negative,-0.2263,negative,0.6589389443397522,-1
245,not worth the price.,not worth price,1,negative,negative,-0.1695,negative,0.4591589570045471,-1
246,fast delivery and great packaging.,fast delivery great packaging,5,positive,positive,0.6249,positive,0.7150805592536926,1
247,"amazing experience, highly recommend!",amazing experience highly recommend,4,positive,positive,0.7836,positive,0.9405997395515442,1
248,customer service was unhelpful.,customer service unhelpful,1,negative,neutral,0.0,negative,0.44395899772644043,-1
249,great value for money.,great value money,4,positive,positive,0.7579,positive,0.7198184728622437,1
250,customer service was unhelpful.,customer service unhelpful,1,negative,neutral,0.0,negative,0.44395899772644043,-1
251,very satisfied with the quality.,very satisfied quality,4,positive,positive,0.4754,positive,0.6406426429748535,1
252,"amazing experience, highly recommend!",amazing experience highly recommend,5,positive,positive,0.7836,positive,0.9405997395515442,1
253,not worth the price.,not worth price,1,negative,negative,-0.1695,negative,0.4591589570045471,-1
254,neutral about the quality.,neutral quality,3,neutral,neutral,0.0,neutral,0.40819641947746277,0
255,"amazing experience, highly recommend!",amazing experience highly recommend,4,positive,positive,0.7836,positive,0.9405997395515442,1
256,very satisfied with the quality.,very satisfied quality,5,positive,positive,0.4754,positive,0.6406426429748535,1
257,excellent product! exceeded expectations.,excellent product exceeded expectation,4,positive,positive,0.6114,positive,0.9307136535644531,1
258,late delivery and poor packaging.,late delivery poor packaging,2,negative,negative,-0.4767,negative,0.5518423318862915,-1
259,late delivery and poor packaging.,late delivery poor packaging,1,negative,negative,-0.4767,negative,0.5518423318862915,-1
260,neutral about the quality.,neutral quality,3,neutral,neutral,0.0,neutral,0.40819641947746277,0
261,"delivery was fine, product is decent.",delivery fine product decent,3,neutral,positive,0.2023,positive,0.48837316036224365,1
262,very satisfied with the quality.,very satisfied quality,5,positive,positive,0.4754,positive,0.6406426429748535,1
263,"product is okay, nothing special.",product okay nothing special,3,neutral,negative,-0.092,neutral,0.8160766959190369,0
264,"amazing experience, highly recommend!",amazing experience highly recommend,5,positive,positive,0.7836,positive,0.9405997395515442,1
265,"product is okay, nothing special.",product okay nothing special,3,neutral,negative,-0.092,neutral,0.8160766959190369,0
266,very disappointed with the quality.,very disappointed quality,1,negative,negative,-0.5256,negative,0.47428229451179504,-1
267,customer service was unhelpful.,customer service unhelpful,1,negative,neutral,0.0,negative,0.44395899772644043,-1
268,very satisfied with the quality.,very satisfied quality,4,positive,positive,0.4754,positive,0.6406426429748535,1
269,not worth the price.,not worth price,1,negative,negative,-0.1695,negative,0.4591589570045471,-1
270,neutral about the quality.,neutral quality,3,neutral,neutral,0.0,neutral,0.40819641947746277,0
271,excellent product! exceeded expectations.,excellent product exceeded expectation,4,positive,positive,0.6114,positive,0.9307136535644531,1
272,product stopped working after few days.,product stopped working day,1,negative,negative,-0.2263,negative,0.6589389443397522,-1
273,not worth the price.,not worth price,1,negative,negative,-0.1695,negative,0.4591589570045471,-1
274,customer service was unhelpful.,customer service unhelpful,1,negative,neutral,0.0,negative,0.44395899772644043,-1
275,customer service was unhelpful.,customer service unhelpful,2,negative,neutral,0.0,negative,0.44395899772644043,-1
276,"product is okay, nothing special.",product okay nothing special,3,neutral,negative,-0.092,neutral,0.8160766959190369,0
277,neutral about the quality.,neutral quality,3,neutral,neutral,0.0,neutral,0.40819641947746277,0
278,not worth the price.,not worth price,1,negative,negative,-0.1695,negative,0.4591589570045471,-1
279,neutral about the quality.,neutral quality,3,neutral,neutral,0.0,neutral,0.40819641947746277,0
280,great value for money.,great value money,5,positive,positive,0.7579,positive,0.7198184728622437,1
281,very disappointed with the quality.,very disappointed quality,2,negative,negative,-0.5256,negative,0.47428229451179504,-1
